Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Sus scrofa
Mus musculus
Danio rerio
Mus musculus
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Mus musculus
Mus musculus
Sus scrofa
Homo sapiens
Homo sapiens
Homo sapiens
Rattus norvegicus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Danio rerio
Danio rerio
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Homo sapiens
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Homo sapiens
Drosophila melanogaster
Drosophila melanogaster
Oryza sativa subsp. japonica
Oryza sativa subsp. japonica
Arabidopsis thaliana
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Arabidopsis thaliana
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Caenorhabditis elegans
Sus scrofa
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Bos taurus
Bos taurus
Mus musculus
Bos taurus
Bos taurus
Bos taurus
Arabidopsis thaliana
Arabidopsis thaliana
Rattus norvegicus
Arabidopsis thaliana
Arabidopsis thaliana
Rattus norvegicus
Homo sapiens
Bos taurus
Bos taurus
Bos taurus
Danio rerio
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Bos taurus
Rattus norvegicus
Sus scrofa
Rattus norvegicus
Sus scrofa
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Sus scrofa
Rattus norvegicus
Escherichia coli (strain K12)
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Xenopus laevis
Danio rerio
Homo sapiens
Homo sapiens
Homo sapiens
Homo sapiens
Bos taurus
Sus scrofa
Sus scrofa
Sus scrofa
Sus scrofa
Danio rerio
Arabidopsis thaliana
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Sus scrofa
Homo sapiens
Sus scrofa
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Bos taurus
Xenopus laevis
Homo sapiens
Homo sapiens
Danio rerio
Danio rerio
Danio rerio
Danio rerio
